año,carrera,circuito,piloto,equipo,posicion_final,gano,podio,puntos_obtenidos,experiencia_carreras,posicion_parrilla,promedio_posicion_ponderado,promedio_puntos_ponderado,forma_reciente_3_carreras,puntos_ultimas_3,podios_ultimas_5,consistencia_std,tasa_finalizacion,promedio_parrilla,mejora_parrilla_carrera,promedio_posicion_circuito,experiencia_circuito
2025,Mexico City Grand Prix,Mexico City,HAM,Ferrari,8.0,0,0,4.0,106,3.0,6.349278869593673,9.931716009893613,7.666666666666667,14.0,0,4.5013824371478055,0.9150943396226415,6.150943396226415,0.5566037735849056,2.5,4
2024,Austrian Grand Prix,Spielberg,HAM,Mercedes,4.0,0,0,12.0,107,5.0,6.37816675945188,9.81673105940198,7.666666666666667,14.0,0,4.48613137496601,0.9158878504672897,6.121495327102804,0.5046728971962616,4.2,5
2025,Pre-Season Testing,Sakhir,HAM,Ferrari,8.0,0,0,4.0,108,6.0,6.320722592117668,9.876526838631884,6.0,24.0,0,4.467828540319948,0.9166666666666666,6.111111111111111,0.5092592592592593,4.285714285714286,7
2025,Chinese Grand Prix,Shanghai,HAM,Ferrari,19.0,0,0,0.0,109,5.0,6.350156921692678,9.76457604406558,6.666666666666667,20.0,0,4.453024338135966,0.9174311926605505,6.110091743119266,0.48623853211009177,9.0,1
2024,United States Grand Prix,Austin,HAM,Mercedes,20.0,0,0,0.0,110,17.0,6.609298442749483,9.572533861025331,10.333333333333334,16.0,0,4.612381350029333,0.9090909090909091,6.1,0.35454545454545455,7.666666666666667,3
2025,Miami Grand Prix,Miami Gardens,HAM,Ferrari,8.0,0,0,4.0,111,12.0,6.880064768832383,9.387097746755124,15.666666666666666,4.0,0,4.786566651705615,0.9009009009009009,6.198198198198198,0.32432432432432434,6.880064768832383,0
2024,São Paulo Grand Prix,São Paulo,HAM,Mercedes,10.0,0,0,1.0,112,14.0,6.894252616716795,9.29033143143274,15.666666666666666,4.0,0,4.7691900512742995,0.9017857142857143,6.25,0.35714285714285715,3.6666666666666665,3
2025,Belgian Grand Prix,Spa-Francorchamps,HAM,Ferrari,7.0,0,0,6.0,113,18.0,6.948961655931829,9.135429459162788,12.666666666666666,5.0,0,4.763546124623538,0.9026548672566371,6.31858407079646,0.3893805309734513,7.0,4
2024,Qatar Grand Prix,Lusail,HAM,Mercedes,12.0,0,0,0.0,114,6.0,6.941249776978818,9.086795374628794,8.333333333333334,11.0,0,4.743481951223226,0.9035087719298246,6.421052631578948,0.4824561403508772,10.0,2
2025,United States Grand Prix,Austin,HAM,Ferrari,4.0,0,0,12.0,115,5.0,7.034283587155553,8.91918095626496,9.666666666666666,7.0,0,4.75633585230198,0.9043478260869565,6.417391304347826,0.4260869565217391,10.75,4
2025,São Paulo Grand Prix,São Paulo,HAM,Ferrari,18.0,0,0,0.0,116,13.0,6.965219057660032,8.995637778854984,7.666666666666667,18.0,0,4.739218807203222,0.9051724137931034,6.405172413793103,0.43103448275862066,5.25,4
2021,Spanish Grand Prix,Barcelona,VER,Red Bull Racing,2.0,0,1,19.0,3,2.0,1.7552715289452023,19.713099297383586,1.6666666666666667,61.0,3,0.5773502691896257,1.0,2.3333333333333335,0.6666666666666666,1.7552715289452023,0
2021,Monaco Grand Prix,Monte Carlo,VER,Red Bull Racing,1.0,1,1,25.0,4,2.0,1.862160586990458,19.487792846823073,1.6666666666666667,62.0,4,0.5,1.0,2.25,0.5,1.862160586990458,0
2021,Azerbaijan Grand Prix,Baku,VER,Red Bull Racing,18.0,0,0,0.0,5,3.0,1.4756984944382738,21.930103259590766,1.6666666666666667,62.0,5,0.5477225575051661,1.0,2.2,0.6,1.4756984944382738,0
2022,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,19.0,0,0,0.0,6,2.0,7.484906432273055,13.8503104553001,7.0,44.0,4,6.713171133426189,0.8333333333333334,2.3333333333333335,-2.0,2.0,1
